up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
5.BPM,001a..Praça.Mauö,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
5.BPM,004a..Praça.da.Rep“blica,0,1,2,0,2,NA,NA,NA,NA,NA,NA,NA
5.BPM,005a..Mem.de.Sö.,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
4.BPM,006a..Cidade.Nova,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
5.BPM,007a..Santa.Tereza,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
2.BPM,009a..Catete,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
2.BPM,010a..Botafogo,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
23.BPM,011a..Rocinha,3,0,0,2,0,NA,NA,NA,NA,NA,NA,NA
19.BPM,012a..Copacabana,0,1,5,2,2,NA,NA,NA,NA,NA,NA,NA
19.BPM,013a..Ipanema,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
23.BPM,014a..Leblon,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
23.BPM,015a..Gövea,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
31.BPM,016a..Barra.da.Tijuca,0,2,1,2,3,NA,NA,NA,NA,NA,NA,NA
4.BPM,017a..S o.Cristãv o,1,1,0,3,3,NA,NA,NA,NA,NA,NA,NA
4.BPM,018a..Praça.da.Bandeira,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
6.BPM,019a..Tijuca,1,1,1,2,0,NA,NA,NA,NA,NA,NA,NA
6.BPM,020a..Graja“,0,1,0,3,1,NA,NA,NA,NA,NA,NA,NA
22.BPM,021a..Bonsucesso,3,6,3,10,4,NA,NA,NA,NA,NA,NA,NA
16.BPM,022a..Penha,1,3,3,2,6,NA,NA,NA,NA,NA,NA,NA
3.BPM,023a..Meier,1,0,2,2,1,NA,NA,NA,NA,NA,NA,NA
3.BPM,024a..Piedade,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA
3.BPM,025a..Engenho.Novo,2,2,1,3,3,NA,NA,NA,NA,NA,NA,NA
3.BPM,026a..Todos.os.Santos,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
41.BPM,027a..Vicente.de.Carvalho,1,6,3,1,5,NA,NA,NA,NA,NA,NA,NA
9.BPM,028a..Campinho,4,6,5,3,3,NA,NA,NA,NA,NA,NA,NA
9.BPM,029a..Madureira,3,1,5,1,4,NA,NA,NA,NA,NA,NA,NA
9.BPM,030a..Marechal.Hermes,2,1,3,2,0,NA,NA,NA,NA,NA,NA,NA
41.BPM,031a..Ricardo.Albuquerque,1,3,4,4,5,NA,NA,NA,NA,NA,NA,NA
18.BPM,032a..Taquara,6,7,9,7,5,NA,NA,NA,NA,NA,NA,NA
14.BPM,033a..Realengo.,5,2,3,4,3,NA,NA,NA,NA,NA,NA,NA
14.BPM,034a..Bangu.,5,12,10,8,12,NA,NA,NA,NA,NA,NA,NA
40.BPM,035a..Campo.Grande,9,7,13,10,7,NA,NA,NA,NA,NA,NA,NA
27.BPM,036a..Santa.Cruz,10,15,9,6,12,NA,NA,NA,NA,NA,NA,NA
17.BPM,037a..Ilha.do.Governador,0,2,5,5,0,NA,NA,NA,NA,NA,NA,NA
16.BPM,038a..Braz.de.Pina,4,1,4,1,2,NA,NA,NA,NA,NA,NA,NA
41.BPM,039a..Pavuna,9,13,5,6,2,NA,NA,NA,NA,NA,NA,NA
9.BPM,040a..Honãrio.Gurgel,6,1,2,6,5,NA,NA,NA,NA,NA,NA,NA
18.BPM,041a..Tanque,0,2,1,1,0,NA,NA,NA,NA,NA,NA,NA
31.BPM,042a..Recreio,5,3,1,2,3,NA,NA,NA,NA,NA,NA,NA
27.BPM,043a..Pedra.de.Guaratiba.,5,2,6,1,2,NA,NA,NA,NA,NA,NA,NA
3.BPM,044a..Inha“ma.,2,4,5,1,3,NA,NA,NA,NA,NA,NA,NA
16.BPM,045a..Alem o,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA
24.BPM,048a..Serop_dica,2,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
24.BPM,050a..Itaguaê,9,8,9,8,3,NA,NA,NA,NA,NA,NA,NA
24.BPM,051a..Paracambê,2,2,0,3,0,NA,NA,NA,NA,NA,NA,NA
20.BPM,052a..Nova.Iguaçu,7,1,5,2,1,NA,NA,NA,NA,NA,NA,NA
20.BPM,053a..Mesquita,14,5,4,8,3,NA,NA,NA,NA,NA,NA,NA
39.BPM,054a..Belford.Roxo,14,11,16,13,13,NA,NA,NA,NA,NA,NA,NA
24.BPM,055a..Queimados,8,8,16,20,10,NA,NA,NA,NA,NA,NA,NA
20.BPM,056a..Comendador.Soares,15,11,15,12,11,NA,NA,NA,NA,NA,NA,NA
20.BPM,057a..Nilãpolis,9,3,1,5,4,NA,NA,NA,NA,NA,NA,NA
20.BPM,058a..Posse,15,17,20,13,19,NA,NA,NA,NA,NA,NA,NA
15.BPM,059a..Duque.de.Caxias,6,8,8,9,11,NA,NA,NA,NA,NA,NA,NA
15.BPM,060a..Campos.Elêseos.,15,7,9,14,12,NA,NA,NA,NA,NA,NA,NA
15.BPM,061a..Xer_m.,2,2,3,2,4,NA,NA,NA,NA,NA,NA,NA
15.BPM,062a..Imbariê,6,3,4,13,2,NA,NA,NA,NA,NA,NA,NA
24.BPM,063a..Japerê.,11,9,7,7,5,NA,NA,NA,NA,NA,NA,NA
21.BPM,064a..Vilar.dos.Teles,12,12,16,19,10,NA,NA,NA,NA,NA,NA,NA
34.BPM,065a..Mag_.,1,5,4,5,3,NA,NA,NA,NA,NA,NA,NA
34.BPM,066a..Piabetö,3,3,9,3,5,NA,NA,NA,NA,NA,NA,NA
34.BPM,067a..Guapimirim,3,1,5,7,1,NA,NA,NA,NA,NA,NA,NA
35.BPM,070a..Tanguö,1,2,1,1,0,NA,NA,NA,NA,NA,NA,NA
35.BPM,071a..Itaboraê,4,3,9,2,10,NA,NA,NA,NA,NA,NA,NA
7.BPM,072a..S o.Gonçalo,4,7,8,5,4,NA,NA,NA,NA,NA,NA,NA
7.BPM,073a..Neves,3,4,9,7,5,NA,NA,NA,NA,NA,NA,NA
7.BPM,074a..Alcantara,8,11,13,17,8,NA,NA,NA,NA,NA,NA,NA
7.BPM,075a..Rio.do.Ouro,11,7,10,4,6,NA,NA,NA,NA,NA,NA,NA
12.BPM,076a..Niterãi.-.Centro,1,1,0,0,4,NA,NA,NA,NA,NA,NA,NA
12.BPM,077a..Icaraê,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
12.BPM,078a..Fonseca,6,12,4,6,5,NA,NA,NA,NA,NA,NA,NA
12.BPM,079a..Jurujuba,1,3,0,4,1,NA,NA,NA,NA,NA,NA,NA
12.BPM,081a..Itaip“,2,1,1,2,0,NA,NA,NA,NA,NA,NA,NA
12.BPM,082a..Maricö,3,11,2,4,3,NA,NA,NA,NA,NA,NA,NA
10.BPM,087a..Paty.de.Alferes.(.a.inaugurar),0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,088a..Barra.do.Piraê,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA
37.BPM,089a..Resende,3,2,1,6,2,NA,NA,NA,NA,NA,NA,NA
28.BPM,090a..Barra.Mansa,3,5,1,4,5,NA,NA,NA,NA,NA,NA,NA
10.BPM,091a..Valença,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,092a..Rio.das.Flores,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
28.BPM,093a..Volta.Redonda,5,5,7,6,3,NA,NA,NA,NA,NA,NA,NA
10.BPM,094a..Piraê,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,095a..Vassouras,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
10.BPM,096a..Miguel.Pereira,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA
10.BPM,097a..Mendes,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,098a..Paulo.de.Frontin,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
37.BPM,099a..Itatiaia,1,3,0,3,0,NA,NA,NA,NA,NA,NA,NA
37.BPM,100a..Porto.Real,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA
28.BPM,101a..Pinheiral.,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,104a..S o.J..Rio.Preto,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
26.BPM,105a..Petrãpolis,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA
26.BPM,106a..Itaipava,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
38.BPM,107a..Paraêba.do.Sul,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA
38.BPM,108a..Três.Rios,0,3,1,2,0,NA,NA,NA,NA,NA,NA,NA
38.BPM,109a..Sapucaia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,110a..Teresãpolis,2,1,5,2,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,111a..Sumidouro,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,112a..Carmo,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
25.BPM,118a..Araruama,2,6,4,6,8,NA,NA,NA,NA,NA,NA,NA
35.BPM,119a..Rio.Bonito.,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
35.BPM,120a..Silva.Jardim,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA
32.BPM,121a..Casimiro.de.Abreu,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA
32.BPM,122a..Conceiç o.de.Macab“,2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
32.BPM,123a..Maca_.,6,8,7,13,8,NA,NA,NA,NA,NA,NA,NA
25.BPM,124a..Saquarema,5,6,5,2,3,NA,NA,NA,NA,NA,NA,NA
25.BPM,125a..S o.Pedro.da.Aldeia,2,4,3,4,5,NA,NA,NA,NA,NA,NA,NA
25.BPM,126a..Cabo.Frio.,12,12,8,9,4,NA,NA,NA,NA,NA,NA,NA
25.BPM,127a..B“zios,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
32.BPM,128a..Rio.das.Ostras,6,9,6,11,7,NA,NA,NA,NA,NA,NA,NA
25.BPM,129a..Iguaba.,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
32.BPM,130a..Quissam .,1,1,1,2,0,NA,NA,NA,NA,NA,NA,NA
25.BPM,132a..Arraial.do.Cabo,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
8.BPM,134a..Campos,10,6,11,12,6,NA,NA,NA,NA,NA,NA,NA
36.BPM,135a..Itaocara,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,136a..Santo.Antonio.de.Pödua,1,2,1,2,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,137a..Miracema,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,138a..Lajes.de.Muriar_,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,139a..Porci“ncula,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,140a..Natividade.,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
8.BPM,141a..S o.Fidelis,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,142a..Cambucê,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,143a..Itaperuna,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,144a..Bom.Jesus.Itabapoana.,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
8.BPM,145a..S o.Jo o.da.Barra,1,0,3,3,1,NA,NA,NA,NA,NA,NA,NA
8.BPM,146a..Guarus,13,8,16,19,19,NA,NA,NA,NA,NA,NA,NA
8.BPM,147a..S o.Francisco.de.Itabapoana,0,1,1,2,3,NA,NA,NA,NA,NA,NA,NA
29.BPM,148a..Italva.,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,151a..Nova.Friburgo,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
11.BPM,152a..Duas.Barras,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,153a..Cantagalo,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,154a..Cordeiro,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,155a..S o.Sebasti o.do.Alto,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
11.BPM,156a..Santa.Maria.Madalena,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,157a..Trajano.de.Morais,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,158a..Bom.Jardim,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
35.BPM,159a..Cachoeira.de.Macac“,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
33.BPM,165a..Mangaratiba,1,1,6,2,1,NA,NA,NA,NA,NA,NA,NA
33.BPM,166a..Angra.dos.Reis,8,9,5,11,5,NA,NA,NA,NA,NA,NA,NA
33.BPM,167a..Paratê,2,2,2,3,1,NA,NA,NA,NA,NA,NA,NA
33.BPM,168a..Rio.Claro.,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA